link,city,street,price,type,rooms,surface,furnished,description,description_eng,near_school,near_hospital,near_public_transport,near_services,photos
https://directwonen.nl/huurwoningen-huren/rotterdam/'s-gravendijkwal/appartement-517236,Rotterdam,'s-Gravendijkwal,2250.0,APPARTMENT,3.0,67.0,Gestoffeerd,"Dit prachtige 3-kamer appartement met toegang tot een gemeenschappelijk dakterras is gelegen op de vierde verdieping van een karakteristiek pand op een TOP LOCATIE! De woning heeft 2 ruime slaapkamers, ideaal voor (werkende) woningdelers of een stel! BELANGRIJKSTE KENMERKEN: • Woning wordt gestoffeerd verhuurd • Woonoppervlakte van ca. 67 m2 • Dicht bij een schat aan voorzieningen en vervoersverbindingen • Prachtig appartement met 2 ruime slaapkamers • Gedeeld zonnig dakterras met uitzicht op de skyline van Rotterdam! OMGEVING: Middelland heeft een centrale ligging waardoor het prettig stads wonen is. Kenmerkend zijn de lanen en singels met statige architectuur en heeft daardoor een rustieke uitstraling. Geen andere buurt heeft als Middelland twee gezichten; de drukte van de stad en tegelijkertijd een gezellige woonomgeving. Door de diversiteit vind je er van alles op het gebied van food, delicatessenwinkels en toko’s, maar ook diverse restaurants en ambachtelijke winkeltjes. Verder is de woning gunstig gelegen ten opzichte van uitvalswegen (A13 en A20) en het openbaar vervoer (trams en Centraal Station). Tot slot is het stadscentrum zeer makkelijk en snel te bereiken. BEGANE GROND: De gemeenschappelijke hal/entree met bellentableau biedt toegang tot de appartementen, de liftinstallatie en het trappenhuis VIERDE VERDIEPING: Entree van het appartement. De hal is voorzien van een separaat toilet en biedt toegang tot de woonkamer. De open keuken is voorzien van een koelkast, vriezer, vaatwasser, inductie kookplaat en combi-oven. Vanuit de woonkamer is er toegang tot de slaapkamers. De badkamer is ingericht met een douche, een wastafel met spiegel en handdoekradiator. • Beschikbaar per 01-08-2026 • De huurprijs is exclusief gas, water, elektra, tv/internet en gemeentelijke lasten • De huurprijs is exclusief 50 euro servicekosten • De woning wordt gestoffeerd verhuurd • Het is niet mogelijk om een parkeervergunning aan te vragen op dit adres (er zijn diverse parkeergarages in de buurt beschikbaar) • De woning is geschikt voor maximaal 2 (werkende) woningdelers of een stel • Waarborgsom gelijk aan twee maanden huur • Minimale huurperiode is 12 maanden • Huren met garantsteller is mogelijk in overleg • Huisdieren en roken niet toegestaan (blindengeleidehonden en andere assistentiehonden wel zijn toegestaan. Vermeld dit wel svp uitdrukkelijk bij interesse) • Minimale inkomenseis voor een garantsteller ligt gelijk aan 3 keer de huur. Als stel ligt dit gelijk aan 4 keer de huur • Jaarlijkse huurprijsverhoging conform CPI • De woning heeft energielabel A • De meest recente WOZ waarde van de woning bedraagt € 364.000,00 Er kunnen geen rechten worden ontleend aan de gegevens, tekst en foto's van dit object.","This beautiful 3-room apartment with access to a communal roof terrace is located on the fourth floor of a characteristic building in a TOP LOCATION! The house has 2 spacious bedrooms, ideal for (working) home sharers or a couple! KEY FEATURES: • Property is rented unfurnished • Living area of ​​approx. 67 m2 • Close to a wealth of amenities and transport links • Beautiful apartment with 2 spacious bedrooms • Shared sunny roof terrace with views of the Rotterdam skyline! AREA: Middelland has a central location, making it pleasant city living. The avenues and canals with stately architecture are characteristic and therefore have a rustic appearance. No other neighborhood has two faces like Middelland; the hustle and bustle of the city and at the same time a cozy living environment. Due to the diversity, you will find everything in the field of food, delicatessen shops and shops, but also various restaurants and craft shops. Furthermore, the house is conveniently located in relation to highways (A13 and A20) and public transport (trams and Central Station). Finally, the city center is very easy and quick to reach. GROUND FLOOR: The communal hall/entrance with doorbells provides access to the apartments, the elevator installation and the stairwell. FOURTH FLOOR: Entrance to the apartment. The hall has a separate toilet and provides access to the living room. The open kitchen is equipped with a refrigerator, freezer, dishwasher, induction hob and combination oven. From the living room there is access to the bedrooms. The bathroom is equipped with a shower, a sink with mirror and a towel radiator. • Available from 01-08-2026 • The rental price is exclusive of gas, water, electricity, TV/internet and municipal charges • The rental price is exclusive of 50 euros service costs • The house is rented unfurnished • It is not possible to apply for a parking permit at this address (there are several parking garages available nearby) • The house is suitable for a maximum of 2 (working) home sharers or a couple • Deposit equal to two months' rent • Minimum rental period is 12 months • Renting with a guarantor is possible in consultation • Pets and smoking are not allowed (guide dogs and other assistance dogs are allowed. Please mention this explicitly if you are interested) • Minimum income requirement for a guarantor is equal to 3 times the rent. As a couple, this is equal to 4 times the rent • Annual rental price increase in accordance with CPI • The house has energy label A • The most recent WOZ value of the house is € 364,000.00 No rights can be derived from the data, text and photos of this object.",0,0,1,1,"['https://resources.directwonen.nl/image/ce98c236-9dff-4dae-9a04-c3baebffcca6', 'https://resources.directwonen.nl/image/7158364e-0c2f-4df0-a5f6-259debcbb8f6', 'https://resources.directwonen.nl/image/bded1888-8da7-4f80-b154-aad55b1917a8', 'https://resources.directwonen.nl/image/6396a9e5-6dbd-440c-b1b6-2fe4b45ef615', 'https://resources.directwonen.nl/image/4edd5ed6-6c99-44ef-a61c-c5d61c05fbd8']"
https://directwonen.nl/huurwoningen-huren/rotterdam/gaesbeekstraat/studio-517612,Rotterdam,Gaesbeekstraat,775.0,STUDIO-ROOM,1.0,37.0,Gemeubileerd,"Gerestyled en gemeubileerd studio beschikbaar in Rotterdam Gerestyled en gemeubileerd studio beschikbaar op een handige locatie in Rotterdam. De studio beschikt over een eigen keuken en badkamer. Het toilet wordt gedeeld op de gang. Het pand is gelegen in een levendige en goed verbonden omgeving van Rotterdam, met winkels, openbaar vervoer en dagelijkse voorzieningen binnen handbereik. Huur: €919,81 per maand (inclusief servicekosten en meubels, exclusief nutsvoorzieningen en internet) Waarborg: €1.549,62 (gelijk aan twee maanden van de basis huur)","Restyled and furnished studio available in Rotterdam Restyled and furnished studio available in a convenient location in Rotterdam. The studio has its own kitchen and bathroom. The toilet is shared in the hallway. The property is located in a lively and well-connected area of ​​Rotterdam, with shops, public transport and daily amenities within easy reach. Rent: €919.81 per month (including service costs and furniture, excluding utilities and internet) Deposit: €1,549.62 (equal to two months of the basic rent)",0,0,1,0,"['https://resources.directwonen.nl/image/8e37bac3-e0fc-4567-8718-0badf1ec46a5', 'https://resources.directwonen.nl/image/0b005196-4a17-4305-92c0-155c09c6c1de', 'https://resources.directwonen.nl/image/985bfb9d-2cc5-47ab-90f5-fde26cd055a8', 'https://resources.directwonen.nl/image/64bccbb7-7046-4705-9dfa-280d39224dba']"
https://directwonen.nl/huurwoningen-huren/rotterdam/schonebergerweg/studio-517611,Rotterdam,Schonebergerweg,891.0,STUDIO-ROOM,2.0,39.0,Gemeubileerd,"Gerenoveerd en gemeubileerd 1-slaapkamerappartement beschikbaar op een fantastische locatie in Rotterdam. Het appartement is gelegen in het stadscentrum, Nieuwe Westen nabij de rand van Delfshaven. Locatie: Schonebergerweg 47A1, Rotterdam De woning beschikt over een: privékeuken en badkamer. Toilet is gedeeld in de gang. Huur: €1.105,88 per maand (inclusief servicekosten en meubels. Exclusief nutsvoorzieningen en internet) Borg: €1.781,76 (gelijk aan twee maanden van de basishuur)","Renovated and furnished 1-bedroom apartment available in a fantastic location in Rotterdam. The apartment is located in the city center, Nieuwe Westen near the edge of Delfshaven. Location: Schonebergerweg 47A1, Rotterdam The house has a: private kitchen and bathroom. Toilet is shared in the hallway. Rent: €1,105.88 per month (including service costs and furniture. Excluding utilities and internet) Deposit: €1,781.76 (equal to two months of the basic rent)",0,0,0,0,"['https://resources.directwonen.nl/image/33bc01d2-4e07-469a-ab35-a7e6017abb05', 'https://resources.directwonen.nl/image/1be4b7f0-9dda-4b09-9589-07169dc00595', 'https://resources.directwonen.nl/image/d6996101-9fce-45fb-82f6-eedcb43ab4a9', 'https://resources.directwonen.nl/image/4257d4d9-f687-4dc1-a9b8-ca0f24341c28']"
https://directwonen.nl/huurwoningen-huren/vlaardingen/westhavenkade/appartement-517610,Vlaardingen,Westhavenkade,2300.0,APPARTMENT,5.0,112.0,Gemeubileerd,"Uniek Geheel Pand in Historisch Kwakkelstein – Ruimte, Karakter & Comfort aan de Westhavenkade Aan de karakteristieke Westhavenkade in Vlaardingen ligt dit volledig gerenoveerde monumentale appartement. Authentieke details zijn gecombineerd met een moderne afwerking, waardoor de woning een unieke uitstraling heeft. Dankzij de raampartijen valt er veel natuurlijk licht naar binnen, wat zorgt voor een prettige en ruimtelijke sfeer. Dit pand is ideaal voor eenieder die op zoek is naar ruimte en kwaliteit op een toplocatie in het hart van het Vlaardingse Museumkwartier. Indeling en unieke kenmerken: Via de algemene entree komt u in de hal van het appartement. Vanuit hier zijn de drie slaapkamers en de moderne badkamer bereikbaar. De drie slaapkamers zijn ruim opgezet en hebben alle 3 veel lichtinval door de ramen. De luxe badkamer bevindt zich eveneens op deze verdieping. Deze is volledig betegeld met witte wandtegels en een contrasterende donkergrijze vloer. De badkamer beschikt over een inloopdouche met regendouche, een modern wastafelmeubel en een designradiator. De trap brengt u naar de bovenverdieping, waar zich de ruime woonkamer met open keuken bevindt. De woonkamer voelt licht en ruim aan en vormt samen met de open keuken het hart van de woning. Deze keuken is volledig uitgerust met hoogwaardige inbouwapparatuur, waaronder een vaatwasser, combimagnetron, inductiekookplaat en koelkast. De keuken is voorzien van greeploze kasten en een contrasterend donker werkblad. Kortom: De woning is met veel zorg gerenoveerd, waarbij de karakteristieke elementen van het monument behouden zijn gebleven en zijn gecombineerd met het comfort van een moderne woning. De Westhavenkade is een geliefde locatie in het historische hart van Vlaardingen. Winkels, restaurants, openbaar vervoer en andere dagelijkse voorzieningen bevinden zich op korte afstand en ook de uitvalswegen zijn eenvoudig te bereiken.","Unique Entire Building in Historic Kwakkelstein - Space, Character & Comfort on the Westhavenkade This completely renovated monumental apartment is located on the characteristic Westhavenkade in Vlaardingen. Authentic details have been combined with a modern finish, giving the home a unique appearance. Thanks to the windows, a lot of natural light comes in, which creates a pleasant and spacious atmosphere. This building is ideal for anyone looking for space and quality in a prime location in the heart of the Vlaardingen Museum Quarter. Layout and unique features: Through the general entrance you enter the hall of the apartment. The three bedrooms and the modern bathroom are accessible from here. The three bedrooms are spacious and all have plenty of light through the windows. The luxurious bathroom is also located on this floor. This is fully tiled with white wall tiles and a contrasting dark gray floor. The bathroom has a walk-in shower with rain shower, a modern washbasin and a design radiator. The stairs take you to the top floor, where the spacious living room with open kitchen is located. The living room feels light and spacious and, together with the open kitchen, forms the heart of the home. This kitchen is fully equipped with high-quality built-in appliances, including a dishwasher, combination microwave, induction hob and refrigerator. The kitchen has handleless cabinets and a contrasting dark worktop. In short: The house has been renovated with great care, in which the characteristic elements of the monument have been retained and combined with the comfort of a modern home. The Westhavenkade is a popular location in the historic heart of Vlaardingen. Shops, restaurants, public transport and other daily facilities are a short distance away and the highways are also easily accessible.",0,0,1,0,"['https://resources.directwonen.nl/image/39599042-3482-4fdf-b281-cfcbc971b7a3', 'https://resources.directwonen.nl/image/e2b6976f-87a9-4eb2-89f8-d9ba729299ab', 'https://resources.directwonen.nl/image/ea9feeee-c740-4774-a04b-4183b232b148', 'https://resources.directwonen.nl/image/dd45eee0-0cb9-4764-a765-ac30ac80becb', 'https://resources.directwonen.nl/image/604fe4c0-2d20-484a-b1fb-9ea69a1aee1a']"
https://directwonen.nl/huurwoningen-huren/simpelveld/dorpstraat/studio-517608,Simpelveld,Dorpstraat,530.0,STUDIO-ROOM,1.0,38.0,,"Op een centrale locatie aan de Dorpstraat in Simpelveld ligt deze zelfstandige studio op de eerste verdieping. De studio beschikt over een eigen keuken, badkamer en een gecombineerde woon-/slaapkamer, waardoor het een praktische woonruimte vormt voor één persoon. De halfopen keuken is voorzien van een inductiekookplaat, afzuigkap en koelkast. De badkamer beschikt over een douche, toilet en wastafel. Dankzij de ligging aan de Dorpstraat bevinden winkels, voorzieningen en openbaar vervoer zich op korte afstand. De huurprijs is exclusief €100,00 voor de stookkosten en het waterverbruik. De woning heeft een eigen elektra meter.","This independent studio is located on the first floor in a central location on Dorpstraat in Simpelveld. The studio has its own kitchen, bathroom and a combined living/bedroom, making it a practical living space for one person. The semi-open kitchen is equipped with an induction hob, extractor hood and refrigerator. The bathroom has a shower, toilet and sink. Thanks to its location on Dorpstraat, shops, facilities and public transport are a short distance away. The rental price excludes €100.00 for heating costs and water consumption. The house has its own electricity meter.",0,0,1,0,"['https://resources.directwonen.nl/image/298e928c-2d96-4d3d-becd-396f094831b4', 'https://resources.directwonen.nl/image/59818d59-4d28-4ccd-b51b-d8228db8b8c6', 'https://resources.directwonen.nl/image/fd676bfe-f5ba-4154-81e7-a0b519f9ab51', 'https://resources.directwonen.nl/image/9999cf89-9f13-4d58-af23-3cac3743c77c', 'https://resources.directwonen.nl/image/5253d5be-0fda-4e91-a9ad-a921ffae4c54']"
https://directwonen.nl/huurwoningen-huren/amsterdam/eendrachtstraat/appartement-517607,Amsterdam,Eendrachtstraat,2650.0,APPARTMENT,3.0,70.0,Gestoffeerd,"Gedeeltelijk gestoffeerd appartement met 2 slaapkamers op de eerste verdieping met een balkon op het oosten. Indeling: Aan de voorzijde van het pand bevinden zich de woonkamer en een van de slaapkamers. Een brede gang verbindt alle kamers met elkaar. Het toilet is gescheiden van de badkamer. De badkamer is voorzien van een inloopdouche, een dubbele wastafel en een spiegel met verlichting. De hoofdslaapkamer bevindt zich aan de achterzijde van het pand en biedt toegang tot het balkon op het oosten. De volledig uitgeruste keuken biedt eveneens toegang tot hetzelfde balkon en grenst aan de hoofdslaapkamer. De woning is voorzien van dubbele beglazing en laminaatvloeren. Locatie: Gelegen in een rustige straat, maar met alle voorzieningen binnen handbereik. Een supermarkt ligt op loopafstand en het Europaplein en station RAI zijn binnen 5 minuten fietsen te bereiken. Daarnaast is er gemakkelijke toegang tot de snelweg A10.","Partially furnished 2-bedroom apartment on the first floor with an east-facing balcony. Layout: The living room and one of the bedrooms are located at the front of the building. A wide corridor connects all rooms. The toilet is separate from the bathroom. The bathroom has a walk-in shower, a double sink and a mirror with lighting. The master bedroom is located at the rear of the property and provides access to the east-facing balcony. The fully equipped kitchen also offers access to the same balcony and is adjacent to the master bedroom. The house has double glazing and laminate floors. Location: Located in a quiet street, but with all amenities within easy reach. A supermarket is within walking distance and Europaplein and RAI station can be reached within 5 minutes by bike. In addition, there is easy access to the A10 motorway.",0,0,1,0,"['https://resources.directwonen.nl/image/75bfcba2-0209-4cd4-959a-8b334d769043', 'https://resources.directwonen.nl/image/447edfe4-54cd-4ff9-84b7-bb0235a2f934', 'https://resources.directwonen.nl/image/3f3a844c-4acc-40da-89ff-bbc45551c281', 'https://resources.directwonen.nl/image/6f67e7c9-751e-475a-9685-7d27631ef798', 'https://resources.directwonen.nl/image/c9a19a94-3d52-4439-8611-d0e677ba17bf']"
https://directwonen.nl/huurwoningen-huren/amsterdam/olympiaplein/appartement-517605,Amsterdam,Olympiaplein,3800.0,APPARTMENT,4.0,110.0,Gestoffeerd,"Luxe gestoffeerd 3-slaapkamer appartement op de begane grond met 2 badkamers, royale kelder en grote tuin. Indeling Via de eigen entree betreedt u de ruime hal, die toegang biedt tot alle vertrekken van de woning. Aan de rechterzijde bevindt zich de royale en lichte woonkamer (ca. 41,5 m²) met een luxe open keuken. De keuken is voorzien van een kookeiland, twee ovens, een inductiekookplaat, een grote koelkast met vriezer, een vaatwasser en een spoelbak met ingebouwde kokendwaterkraan. Vanuit de woonkamer heeft u direct toegang tot de fraai aangelegde, ruime tuin, waar u in alle rust kunt genieten van het buitenleven. Aan de voorzijde van het appartement ligt de royale hoofdslaapkamer (ca. 18 m²). Aan de achterzijde, met uitzicht op en toegang tot de tuin, bevinden zich de tweede slaapkamer (ca. 11,5 m²) en de derde slaapkamer (ca. 6,5 m²). Via de hal bereikt u de twee badkamers. Eén badkamer is uitgerust met een ligbad, terwijl de tweede beschikt over een comfortabele inloopdouche. Daarnaast is er een separaat toilet aanwezig. De woning beschikt bovendien over een zeer ruime kelder, ideaal als bergruimte. Het appartement is voorzien van dubbele beglazing en afgewerkt met fraaie houten vloeren. Locatie De woning is gelegen op een uitstekende locatie in Amsterdam-Zuid. Station Amsterdam Zuid bevindt zich op slechts enkele minuten fietsen en de A10 is binnen één minuut met de auto bereikbaar. Daarnaast zijn diverse tram- en busverbindingen op loopafstand en bevinden supermarkten, winkels, restaurants en andere dagelijkse voorzieningen zich in de directe omgeving. Voorwaarden Deze woning is uitsluitend beschikbaar voor een huurder met een zelfstandig, stabiel en toereikend inkomen uit arbeid. Verhuur op basis van een garantsteller is helaas niet mogelijk. De woning dient door de huurder zelf te worden bewoond. Tevens is de huurder verplicht zich op het adres in te schrijven in de Basisregistratie Personen (BRP).","Luxury unfurnished 3-bedroom apartment on the ground floor with 2 bathrooms, spacious basement and large garden. Layout Through the private entrance you enter the spacious hall, which provides access to all rooms of the house. On the right is the spacious and bright living room (approx. 41.5 m²) with a luxurious open kitchen. The kitchen is equipped with a cooking island, two ovens, an induction hob, a large refrigerator with freezer, a dishwasher and a sink with built-in boiling water tap. From the living room you have direct access to the beautifully landscaped, spacious garden, where you can enjoy the outdoors in peace. At the front of the apartment is the spacious master bedroom (approx. 18 m²). At the rear, with a view of and access to the garden, are the second bedroom (approx. 11.5 m²) and the third bedroom (approx. 6.5 m²). You reach the two bathrooms through the hall. One bathroom is equipped with a bath, while the second has a comfortable walk-in shower. There is also a separate toilet. The house also has a very spacious basement, ideal as storage space. The apartment has double glazing and is finished with beautiful wooden floors. Location The house is located in an excellent location in Amsterdam South. Amsterdam Zuid Station is just a few minutes by bike and the A10 can be reached within one minute by car. In addition, various tram and bus connections are within walking distance and supermarkets, shops, restaurants and other daily facilities are in the immediate vicinity. Conditions This property is only available to a tenant with an independent, stable and sufficient income from work. Unfortunately, rental on the basis of a guarantor is not possible. The property must be occupied by the tenant himself. The tenant is also obliged to register at the address in the Municipal Personal Records Database (BRP).",0,0,1,0,"['https://resources.directwonen.nl/image/8c7b7a97-c0e5-4de3-bf58-6e27b75fba1c', 'https://resources.directwonen.nl/image/40bb701c-948e-4baa-bac8-a1ce9eb5ec3e', 'https://resources.directwonen.nl/image/58644a67-3f0e-43c0-8694-8b244c9e4442', 'https://resources.directwonen.nl/image/048e8c6c-a664-4ded-9d31-ea630c6b58f2', 'https://resources.directwonen.nl/image/683155ea-7518-4dd4-ae2b-88b16367a0cd']"
https://directwonen.nl/huurwoningen-huren/utrecht/louis-armstronglaan/appartement-517606,Utrecht,Louis Armstronglaan,2250.0,APPARTMENT,3.0,62.0,Gemeubileerd,"Op een aantrekkelijke locatie aan de Louis Armstronglaan in Utrecht bieden wij dit comfortabele en volledig gemeubileerde 3-kamerappartement van circa 62 m² te huur aan. De Louis Armstronglaan is gelegen in de populaire en groene wijk Terwijde, onderdeel van Leidsche Rijn. De wijk staat bekend om haar moderne opzet, ruime voorzieningen en uitstekende bereikbaarheid. Op korte afstand bevinden zich diverse supermarkten, winkels, restaurants, sportfaciliteiten en scholen. Ook winkelcentrum Terwijde en het Maximapark liggen in de directe omgeving, waardoor er volop mogelijkheden zijn om te winkelen, te ontspannen of te recreëren. Dankzij station Utrecht Terwijde en de nabijgelegen uitvalswegen A2 en A12 zijn zowel het centrum van Utrecht als andere steden in de Randstad snel en eenvoudig bereikbaar. Het appartement beschikt over een lichte woonkamer met een gezellige zithoek en een eethoek. De moderne keuken is voorzien van de benodigde inbouwapparatuur, waardoor de woning direct instapklaar is. Met twee slaapkamers is de woning geschikt voor een stel of werkende professionals die behoefte hebben aan een extra slaapkamer of thuiswerkruimte. De badkamer is netjes afgewerkt en voorzien van een douche en wastafel. Daarnaast is er een separaat toilet. Dankzij de complete inrichting hoeft u alleen uw persoonlijke spullen mee te nemen. De woning biedt een comfortabele woonomgeving op een goed bereikbare locatie, met winkels, openbaar vervoer, uitvalswegen en diverse voorzieningen in de directe omgeving. BIJZONDERHEDEN:","We offer this comfortable and fully furnished 3-room apartment of approximately 62 m² for rent at an attractive location on Louis Armstronglaan in Utrecht. The Louis Armstronglaan is located in the popular and green Terwijde district, part of Leidsche Rijn. The district is known for its modern design, ample facilities and excellent accessibility. There are several supermarkets, shops, restaurants, sports facilities and schools a short distance away. The Terwijde shopping center and the Maxima Park are also in the immediate vicinity, offering plenty of opportunities for shopping, relaxing or recreation. Thanks to Utrecht Terwijde station and the nearby highways A2 and A12, both the center of Utrecht and other cities in the Randstad are quickly and easily accessible. The apartment has a bright living room with a cozy sitting area and a dining area. The modern kitchen is equipped with the necessary built-in appliances, making the house ready to move into. With two bedrooms, the house is suitable for a couple or working professionals who need an extra bedroom or home office space. The bathroom is neatly finished and equipped with a shower and sink. There is also a separate toilet. Thanks to the complete furnishings, you only need to take your personal belongings with you. The house offers a comfortable living environment in an easily accessible location, with shops, public transport, arterial roads and various facilities in the immediate vicinity. SPECIAL FEATURES:",1,0,1,0,"['https://resources.directwonen.nl/image/29dc9e7d-8714-4549-bbd2-31d214cdba9d', 'https://resources.directwonen.nl/image/7774d3b9-4754-459b-a17f-58d10ea283be', 'https://resources.directwonen.nl/image/8118aa1f-08aa-440b-b6f5-725cfbb866bc', 'https://resources.directwonen.nl/image/000450fa-1f40-426b-b7c5-7f7c5e47cb31', 'https://resources.directwonen.nl/image/eef02d35-6301-490f-9836-03e47bebc067']"
https://directwonen.nl/huurwoningen-huren/rotterdam/aelbrechtskade/appartement-517598,Rotterdam,Aelbrechtskade,1995.0,APPARTMENT,3.0,70.0,Gemeubileerd,"SHORTSTAY - 4 maanden vanaf 26 Augustus. Per 26 Augustus komt deze woning beschikbaar voor een TIJDELIJKE verhuur termijn van 4 maanden waar de eigenaar tijdelijk ion het buitenland zal verblijven en weer terugkomt in December. Dit luxe appartement gelegen op de eerste etage is voorzien van een ruime en lichte woonkamer met aangrenzende slaapkamer en werkstudeer kamer. Het appartement kenmerkt zich in de luxe afwerking qua keuken en badkamer. Gelegen aan de Aelbrechtskade met alle voorzieningen op korte afstand. Zoekende naar een SHORTSTAY voor de periode van ongeveer 4 maanden vanaf einde Augustus? Kosten voor gebruik GWE, internet en belastingen zullen naast de huur doorberekend worden.","SHORTSTAY - 4 months from August 26th. As of August 26, this property will be available for a TEMPORARY rental period of 4 months where the owner will temporarily stay abroad and return in December. This luxurious apartment located on the first floor has a spacious and bright living room with adjoining bedroom and work study room. The apartment is characterized by its luxurious finish in the kitchen and bathroom. Located on the Aelbrechtskade with all amenities a short distance away. Looking for a SHORTSTAY for the period of approximately 4 months from the end of August? Costs for GWE use, internet and taxes will be charged in addition to the rent.",0,0,0,0,"['https://resources.directwonen.nl/image/8de38aef-1bdc-4c7b-a526-85c02a9c2bb5', 'https://resources.directwonen.nl/image/ced957bc-90e5-4b69-9254-6f268af52a91', 'https://resources.directwonen.nl/image/80fda9fe-e4c9-4763-acf5-0aed4b3427bb', 'https://resources.directwonen.nl/image/416f0b18-ef9a-4ef7-b1f1-6ba421c47c5a', 'https://resources.directwonen.nl/image/b2cdfd0d-b1cc-4057-8be7-6e9e8ea93781']"
https://directwonen.nl/huurwoningen-huren/hengelo-ov/telgen/appartement-517599,Hengelo Ov,Telgen,1100.0,APPARTMENT,3.0,142.0,,"Zeer ruime bovenwoning in hartje centrum Hengelo. Indeling; Zij entree, trap naar eerste etage. Eerste etage; Zeer ruime woonkamer met dakterras. Keuken en toilet Trap naar tweede etage. 3 ruime slaapkamers en douche. Bijzonderheden; Geen servicekosten. Gas, water en elektra op eigen naam aan te vragen. Niet te huur voor studenten(groepen). Wel te huur voor woningdelers (werkend).","Very spacious upstairs apartment in the heart of Hengelo. Layout; Side entrance, stairs to first floor. First floor; Very spacious living room with roof terrace. Kitchen and toilet Stairs to second floor. 3 spacious bedrooms and shower. Details; No service charges. You can request gas, water and electricity in your own name. Not for rent for student (groups). Can be rented for home sharers (working).",0,0,0,0,"['https://resources.directwonen.nl/image/6ce5a462-0794-4f0e-b81d-cdeb7cac0006', 'https://resources.directwonen.nl/image/0a717939-133f-46b3-88bd-b11b6c47f132', 'https://resources.directwonen.nl/image/98dff848-e1dc-4fd3-9059-f429c0d2d096', 'https://resources.directwonen.nl/image/0ee9777a-be2f-4b7b-a1de-f5affa950ddf', 'https://resources.directwonen.nl/image/9d864a5b-f8ba-4bba-a39f-d7ee91a22078']"
